features,predicted_happiness_score
"[0.658248662948608, 0.786441087722778, 0.415983647108078, 0.246528223156929, 0.498272627592087, 0.43329130227363005, 0.5176737944813675, 0.27382067951737793, 0.16227687327214455, 0.32798729089638096, 0.6184895844585862, 0.3271466319065651, 0.19387992397389897, 0.3918620672260076, 0.17304239466133797, 0.10255170938389345, 0.20727326487988149, 0.06077616481291258, 0.1228382655280114, 0.24827561140752263]",5.232038864476692
"[0.53024, 1.12486, 0.33075, 0.10501, 0.72394, 0.2811544576000001, 0.5964457664, 0.17537688, 0.055680502400000005, 0.38386194560000003, 1.2653100196, 0.372047445, 0.1181215486, 0.8143311484, 0.10939556249999999, 0.0347320575, 0.239443155, 0.011027100100000001, 0.0760209394, 0.5240891236]",6.692451624638059
"[0.352, 0.569, 0.154, 0.09, 0.232, 0.12390399999999999, 0.20028799999999997, 0.054208, 0.03168, 0.081664, 0.32376099999999997, 0.087626, 0.05120999999999999, 0.132008, 0.023716, 0.013859999999999999, 0.035728, 0.0081, 0.02088, 0.053824000000000004]",4.348905874232556
"[0.505196332931519, 1.12209415435791, 0.0993484482169151, 0.0985831990838051, 0.341755509376526, 0.2552233348074542, 0.5668778519855099, 0.050190471721622415, 0.04980387066579622, 0.17265363009616427, 1.259095291244193, 0.11147831298872996, 0.11061963140983977, 0.3834818592910097, 0.009870114163109062, 0.009794087849235243, 0.033952879526139235, 0.009718647141597151, 0.03369135141885328, 0.11679682818920874]",5.124033246672831
"[0.309410035610199, 0.950612664222717, 0.0540088154375553, 0.251666635274887, 0.649546980857849, 0.0957345701363046, 0.29412909828865696, 0.01671086950779865, 0.07786818258230174, 0.2009763544777243, 0.903664437380612, 0.05134146393460745, 0.2392374906546271, 0.617467586011102, 0.002916952144967912, 0.013592216856351915, 0.03508126300717283, 0.06333609531058298, 0.16346930312545627, 0.42191128034154685]",4.749005180848077
"[0.357, 1.159, 0.187, 0.056, 0.92, 0.12744899999999998, 0.413763, 0.066759, 0.019992, 0.32844, 1.3432810000000002, 0.216733, 0.064904, 1.0662800000000001, 0.034969, 0.010472, 0.17204, 0.0031360000000000003, 0.05152, 0.8464]",6.08901078649366
"[0.520303547382355, 0.964434325695038, 0.0771337449550629, 0.0931469723582268, 0.33861181139946, 0.2707157814186625, 0.5017986008764377, 0.04013296112300505, 0.04846470014591157, 0.17618092665670398, 0.9301335685788426, 0.07439043130406912, 0.08983413747684081, 0.3265688539994136, 0.0059496146107926905, 0.007184774809215759, 0.026118397099257805, 0.008676358459504268, 0.03154066503659461, 0.11465795881922347]",4.62735534629097
"[0.633375823497772, 0.601765096187592, 0.385922968387604, 0.0681059509515762, 0.429783403873444, 0.4011649337914808, 0.3811434633500321, 0.2444342779092033, 0.043136662769053445, 0.27221441735401813, 0.36212123098966187, 0.23223497219276754, 0.04098378412532268, 0.25862865137173374, 0.14893653752909958, 0.02628365075609285, 0.16586328698656796, 0.004638420555018504, 0.029270807424006243, 0.18471377424504387]",4.41261658080666
"[0.450002878904343, 1.03522527217865, 0.126819714903831, 0.0470490865409374, 0.630166113376617, 0.20250259102219678, 0.4658543527949245, 0.057069236808551964, 0.021172224393241408, 0.28357656520743824, 1.0716913641573598, 0.13128697387893723, 0.04870640342009878, 0.6523638862380703, 0.01608324008828898, 0.005966751741607354, 0.07991748684047782, 0.002213616544336617, 0.029648740003422623, 0.3971093304481913]",6.023722102153695
"[0.37012, 0.44626, 0.3816, 0.07008, 0.50073, 0.1369888144, 0.1651697512, 0.141237792, 0.025938009600000003, 0.1853301876, 0.1991479876, 0.17029281599999999, 0.031273900800000004, 0.2234557698, 0.14561856, 0.026742528, 0.191078568, 0.0049112064000000006, 0.0350911584, 0.2507305329]",4.506978394411185
